restart_count_last_5m,cpu_usage_pct,memory_usage_bytes,ready_replica_ratio,unavailable_replicas,network_receive_bytes_per_s,http_5xx_error_rate,failure
4,73.81884672572298,1722598727.7950525,0.1817107349080693,10,42230.62399172823,0.06587016176289925,1
0,40.239614998432224,956204346.1689775,0.9671822788211846,0,78366.48257844898,5.206494953558281e-05,0
0,46.837575384469204,239612489.3423731,0.9788829139857009,0,209525.95043115027,0.0004405153798295902,0
0,31.314895902693493,203592472.8338265,0.9886626624587632,0,396830.43227546004,0.0023240942171454506,0
0,32.499951445606335,434865267.34182966,0.9252186634492772,0,710115.1248636536,0.0005573842457446087,0
2,89.74065674276468,2645938781.8390274,0.31091195291253854,6,1468616.3557875704,0.10030939842365366,1
0,29.336984502916447,574731208.1323857,0.9856317654234729,1,727031.3646878959,0.006643111360312497,0
2,84.58661096740767,2555280220.971656,0.23752039236838934,7,8457.700616910379,0.011588659950351592,1
3,11.093330609366081,1792252560.677047,0.1930764359757623,9,8083483.62101683,0.005004738715839848,1
0,62.70602596479527,709707058.546595,0.9635882950943186,0,515830.4193603814,2.7895383337048087e-06,0
0,51.069468798834485,801318336.2551023,0.9906540744039084,0,1040154.4070726427,0.0027161768238272766,0
1,96.85696502255448,1374632692.7774253,0.46889289120432875,3,366532.3701983468,0.04206765444128792,1
0,78.19562790784359,14123253152.064783,0.6235818512292485,4,131468.96318886685,0.07064975929456546,1
1,75.50521181254307,1961487399.3777902,0.14105841771679004,6,28713.556469017545,0.004224597488059628,1
0,48.89907999811053,206606521.59778574,0.9686004598044392,1,836534.8195231924,0.0009504561398073857,0
0,94.32849471463874,13622571734.34161,0.2149673723671488,10,41410.69655185411,0.014961729974448513,1
0,45.12122706661005,1326045223.7284012,0.9826567419955986,0,112260.49295846115,4.074000421268122e-05,0
3,77.00806857685251,1207021318.378796,0.12382318870320087,8,401635.5730072787,0.12966901298281971,1
5,84.42788084421996,3671765285.415066,0.18353639553466158,8,1327599.3370739683,0.05267718537894229,1
2,76.79347513819363,711404013.64943,0.0854146319224783,10,7124.155807898027,0.11898665439013335,1
2,80.42931644291424,718251741.3342898,0.035275133310189416,10,6284.610043113826,0.03517258799553634,1
0,48.97530674586259,905513619.1681904,0.9428213965671736,1,100016.17615444181,0.0005233609893631012,0
0,37.680999918018,1302357236.822225,0.9841997781492219,0,177672.037801781,0.005038343726297342,0
1,82.82180904120449,8629582381.429928,0.1389211915833226,6,32770.75712946753,0.043807730884472075,1
1,48.037049160543006,226664268.95062596,0.9833511473486422,0,386937.26882980263,2.566766987579923e-06,0
1,70.81635991703317,1432527818.7808573,0.29353946548462134,6,977195.4251255785,0.029866729197267426,1
0,38.118498511650934,1023749797.8931339,0.9122473679139327,0,131002.80692389962,0.0035617608126488204,0
2,89.59071511658092,1612206623.8839285,0.04502759516283709,10,1689175.2713686062,0.06494438288240682,1
4,80.15379906071158,861538746.3176098,0.2327050768660811,8,864582.1321535199,0.018232569303189734,1
3,93.51892268765653,1189958273.4315288,0.24087336492510195,9,9584.527736470896,0.01135322345199786,1
0,36.77169002528017,991985949.1765395,0.9662436841465245,0,97860.30912016355,0.0010010527888575384,0
0,52.0359628054087,1031738379.9086933,0.985965999880081,0,296996.2738978855,0.00201633961330845,0
0,39.241842062002824,597404697.5402588,0.934328790281981,1,68670.21338158604,7.690470877291492e-05,0
0,39.575985372472616,461925361.9417229,0.9493450416133036,1,212251.18503051324,0.0004479036284794803,0
2,77.19966368344166,1381092051.0635056,0.6868225946711624,1,1096039.0442787146,0.06073181440916697,1
0,34.268496359745114,1263445546.882958,0.9492628498137173,0,145521.00413380517,9.652365742328634e-05,0
2,6.070493132560141,1477934155.2910333,0.34593276837879056,4,341241.9766902831,0.08330897153382533,1
0,47.95117780510301,1283435169.8549259,0.9440260894967878,0,1733575.8448168729,0.00014787274186872084,0
0,34.35313016786896,438291742.85288215,0.9317384503774991,0,168345.51626123133,0.0028309353113771018,0
1,93.82638105008422,1856507199.3625796,0.2964915029106742,7,1881397.2508115806,0.08834425606681548,1
1,84.52441915843222,2403561016.401935,0.25859241052697346,10,474747.3497572136,0.051228166691233985,1
0,20.976944528706817,1500732056.7664015,0.9346937253808932,0,652480.5453961776,0.001128268046027806,0
4,70.22787746145474,1321909687.055669,0.4300219034744517,7,2731786.1930746716,0.03738326192350119,1
0,37.303218949440144,1470887193.3879116,0.9528210205431485,0,631060.6471132437,1.940886289733267e-05,0
3,64.10703878258408,1287277750.2772226,0.2269678184173855,8,9700.585418339673,0.021133655000200164,1
0,49.326598437473514,412387138.76872575,0.9723681253196532,1,525044.7219398678,0.0005916125031736635,0
1,35.370603280950824,240405372.02709803,0.9372924729734626,2,398847.2137052871,2.4436174308010016e-05,0
